time,x1,x2,x3,x4,x5,x1_mean,x1_flut,x2_mean,x2_flut,x3_mean,x3_flut,x4_mean,x4_flut,x5_mean,x5_flut
3.153,1.738,0.9404,0.8956,0.8424,0.9249,11.644254089355522,0.024281884765700923,5.0942323852538784,-0.010188220214856547,6.150029809570259,-0.088308233642591,6.364531567382773,-0.1972818603515718,6.246980328369128,-0.12620666503905742
3.1532,1.738,0.9348,0.8971,0.8424,0.9217,11.644254089355522,0.024281884765700923,5.0942323852538784,-0.015788220214856596,6.150029809570259,-0.08680823364259094,6.364531567382773,-0.1972818603515718,6.246980328369128,-0.1294066650390575
3.1534,1.738,0.9397,0.8978,0.8534,0.9256,11.644254089355522,0.024281884765700923,5.0942323852538784,-0.010888220214856581,6.150029809570259,-0.0861082336425909,6.364531567382773,-0.1862818603515718,6.246980328369128,-0.1255066650390575
3.1536,1.7403,0.9501,0.8992,0.8616,0.9281,11.644254089355522,0.02658188476570089,5.0942323852538784,-0.00048822021485661615,6.150029809570259,-0.08470823364259095,6.364531567382773,-0.1780818603515718,6.246980328369128,-0.12300666503905744
3.1538,1.7336,0.9501,0.8999,0.8632,0.9338,11.644254089355522,0.019881884765700963,5.0942323852538784,-0.00048822021485661615,6.150029809570259,-0.08400823364259091,6.364531567382773,-0.17648186035157187,6.246980328369128,-0.11730666503905751
3.154,1.7403,0.9579,0.9013,0.8719,0.9388,11.644254089355522,0.02658188476570089,5.0942323852538784,0.007311779785143413,6.150029809570259,-0.08260823364259096,6.364531567382773,-0.16778186035157183,6.246980328369128,-0.11230666503905751
3.1542,1.7358,0.9626,0.9013,0.8848,0.9443,11.644254089355522,0.022081884765700943,5.0942323852538784,0.01201177978514345,6.150029809570259,-0.08260823364259096,6.364531567382773,-0.1548818603515718,6.246980328369128,-0.10680666503905745
3.1544,1.7403,0.9673,0.9027,0.8985,0.951,11.644254089355522,0.02658188476570089,5.0942323852538784,0.016711779785143488,6.150029809570259,-0.081208233642591,6.364531567382773,-0.14118186035157188,6.246980328369128,-0.10010666503905752
3.1546,1.738,0.9725,0.9041,0.9102,0.9582,11.644254089355522,0.024281884765700923,5.0942323852538784,0.02191177978514347,6.150029809570259,-0.07980823364259093,6.364531567382773,-0.12948186035157183,6.246980328369128,-0.09290666503905742
3.1548,1.7425,0.9771,0.9047,0.9247,0.9664,11.644254089355522,0.02878188476570087,5.0942323852538784,0.026511779785143408,6.150029809570259,-0.079208233642591,6.364531567382773,-0.11498186035157187,6.246980328369128,-0.08470666503905744
